simple,9,,,,,,,
1,2,3,4,5,6,7,8,9
0,0,-100,-42.73718746,-83.6955013,0,0,0,0
0,0,-100,-42.7423241,-83.4615872,0,0,0,0
0,0,-99.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-99,-42.7423241,-83.4615872,0,0,0,0
0,0,-98.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-98,-42.7423241,-83.4615872,0,0,0,0
0,0,-97.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-97,-42.7423241,-83.4615872,0,0,0,0
0,0,-96.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-96,-42.7423241,-83.4615872,0,0,0,0
0,0,-95.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-95,-42.7423241,-83.4615872,0,0,0,0
0,0,-94.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-94,-42.7423241,-83.4615872,0,0,0,0
0,0,-93.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-93,-42.7423241,-83.4615872,0,0,0,0
0,0,-92.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-92,-42.7423241,-83.4615872,0,0,0,0
0,0,-91.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-91,-42.7423241,-83.4615872,0,0,0,0
0,0,-90.5,-42.7423241,-83.4615872,0,0,0,0
0,0,-90,-42.7423241,-83.4615872,0,0,0,0
0,0,-90,-42.7423241,-83.4615872,0,0,0,0
0,0,-90,-42.73059035,-83.92784437,0,0,0,0
0,0,-90,-42.7130224,-84.38784083,0,0,0,0
0,0,-90,-42.68963476,-84.84162162,0,0,0,0
0,0,-90,-42.66044069,-85.28922907,0,0,0,0
0,0,-90,-42.62545231,-85.73070298,0,0,0,0
0,0,-90,-42.58468064,-86.16608066,0,0,0,0
0,0,-90,-42.53813573,-86.59539707,0,0,0,0
0,0,-90,-42.4858267,-87.01868492,0,0,0,0
0,0,-90,-42.42776182,-87.43597477,0,0,0,0
0,0,-90,-42.36394859,-87.84729508,0,0,0,0
0,0,-90,-42.2943938,-88.25267234,0,0,0,0
0,0,-90,-42.2191036,-88.65213114,0,0,0,0
0,0,-90,-42.13808357,-89.04569425,0,0,0,0
0,0,-90,-42.05133877,-89.43338266,0,0,0,0
0,0,-90,-41.95887381,-89.81521573,0,0,0,0
0,0,-90,-41.86069292,-90.19121119,0,0,0,0
0,0,-90,-41.75679997,-90.56138522,0,0,0,0
0,0,-90,-41.64719858,-90.92575254,0,0,0,0
0,0,-90,-41.53189216,-91.28432646,0,0,0,0
0,0,-90,-41.41088392,-91.63711894,0,0,0,0
